Region,Geog_Area,CV_Density_Cat,Site,Replicate,Sample_No,Site_No,Heather_Density,Measured_Heather_Category,Heather_Code,Plot,AMF,Code,Tube code,Subsample_weight,,,,,,,,,,,,,,,,,
Southern,A,M,1,1,P1,1,30,Medium,50,1,24.7,1-50-1,1,0.5352,,,,,,,,,,,,,,,,,
Southern,A,M,1,2,P2,1,10,Low,50,2,35.7,1-50-2,2,0.5379,,,,,,,,,,,,,,,,,
Southern,A,M,1,3,P3,1,40,Medium,50,3,41,1-50-3,3,0.5189,,,,,,,,,,,,,,,,,
Southern,A,M,1,4,P4,1,60,Medium,50,4,41.7,1-50-4,4,0.4958,,,,,,,,,,,,,,,,,
Southern,A,M,1,5,P5,1,30,Medium,50,5,45.7,1-50-5,5,0.5434,,,,,,,,,,,,,,,,,
Southern,A,L,2,1,P6,2,0,Low,0,1,54,2-0-1,6,0.4842,,,,,,,,,,,,,,,,,
Southern,A,L,2,2,P7,2,0,Low,0,2,59.7,2-0-2,7,0.5284,,,,,,,,,,,,,,,,,
Southern,A,L,2,3,P8,2,0,Low,0,3,51,2-0-3,8,0.4996,,,,,,,,,,,,,,,,,
Southern,A,L,2,4,P9,2,0,Low,0,4,48.3,2-0-4,9,0.4543,,,,,,,,,,,,,,,,,
Southern,A,L,2,5,P10,2,0,Low,0,5,52.7,2-0-5,10,0.5284,,,,,,,,,,,,,,,,,
Southern,A,H,3,1,P11,3,60,Medium,100,1,23.7,3-100-1,11,0.5378,,,,,,,,,,,,,,,,,
Southern,A,H,3,2,P12,3,50,Medium,100,2,26.7,3-100-2,12,0.4845,,,,,,,,,,,,,,,,,
Southern,A,H,3,3,P13,3,80,High,100,3,18.3,3-100-3,13,0.5363,,,,,,,,,,,,,,,,,
Southern,A,H,3,4,P14,3,70,High,100,4,28,3-100-4,14,0.5117,,,,,,,,,,,,,,,,,
Southern,A,H,3,5,P15,3,70,High,100,5,21,3-100-5,15,0.4146,,,,,,,,,,,,,,,,,
Southern,B,H,4,1,P16,4,60,Medium,100,1,32,4-100-1,16,0.4817,,,,,,,,,,,,,,,,,
Southern,B,H,4,2,P17,4,60,Medium,100,2,13,4-100-2,17,0.4697,,,,,,,,,,,,,,,,,
Southern,B,H,4,3,P18,4,70,High,100,3,19.7,4-100-3,18,0.5427,,,,,,,,,,,,,,,,,
Southern,B,H,4,4,P19,4,60,Medium,100,4,18,4-100-4,19,0.5377,,,,,,,,,,,,,,,,,
Southern,B,H,4,5,P20,4,50,Medium,100,5,16,4-100-5,20,0.4697,,,,,,,,,,,,,,,,,
Southern,B,M,5,1,P21,5,20,Medium,50,1,23,5-50-1,21,0.5233,,,,,,,,,,,,,,,,,
