Sample,Ret.Time,Start.Tm,End.tm,m/z,Area,Area%,Height,Height%,A/H,Mark,Name,
P1,18.566,18.455,18.705,TIC,3163089,22.16,649885,18.61,4.87,   ,16:0,
P1,23.574,23.475,23.665,TIC,1721642,12.06,425341,12.18,4.05,   ,18:2w6,
P1,23.757,23.665,23.845,TIC,2033484,14.25,495975,14.21,4.1, V ,18:1w9c,
P1,23.93,23.845,24.025,TIC,2183711,15.3,524283,15.02,4.17, V ,18:1w7,
P1,24.543,24.455,24.635,TIC,857402,6.01,226072,6.48,3.79,   ,18:0,
P1,27.445,27.345,27.545,TIC,4311617,30.21,1169732,33.5,3.69,   ,19:0,
P2,27.385,27.305,27.475,TIC,975991,100,256429,100,3.81,   ,19:0,
P3,18.506,18.395,18.645,TIC,2932702,21.15,591472,17.26,4.96,   ,16:0,
P3,23.515,23.425,23.615,TIC,1664999,12.01,409518,11.95,4.07,   ,18:2w6,
P3,23.702,23.615,23.785,TIC,1850155,13.34,456292,13.32,4.05, V ,18:1w9c,
P3,23.871,23.785,23.975,TIC,2019170,14.56,512468,14.96,3.94, V ,18:1w7,
P3,27.391,27.275,27.495,TIC,5400356,38.94,1456911,42.52,3.71,   ,19:0,
P4,18.555,18.455,18.695,TIC,2483981,17.27,510719,14.04,4.86,   ,16:0,
P4,23.755,23.655,23.845,TIC,1437088,9.99,369851,10.17,3.89,   ,18:1w9c,
P4,23.926,23.845,24.025,TIC,1174220,8.17,289248,7.95,4.06, V ,18:1w7,
P4,24.543,24.455,24.635,TIC,1066255,7.42,272747,7.5,3.91,   ,18:0,
P4,27.454,27.325,27.555,TIC,8217844,57.15,2194052,60.33,3.75,   ,19:0,
P5,18.558,18.445,18.705,TIC,3708616,21.71,765791,18.31,4.84,   ,16:0,
P5,23.566,23.475,23.665,TIC,1688959,9.89,440253,10.53,3.84,   ,18:2w6,
P5,23.758,23.665,23.845,TIC,2003559,11.73,477152,11.41,4.2, V ,18:1w9c,
P5,23.926,23.845,24.035,TIC,2156910,12.63,543659,13,3.97, V ,18:1w7,
P5,24.543,24.455,24.635,TIC,1103011,6.46,285169,6.82,3.87,   ,18:0,
P5,27.447,27.325,27.555,TIC,6423304,37.6,1669634,39.93,3.85,   ,19:0,
P6,18.508,18.405,18.645,TIC,2874834,18.75,610082,16.02,4.71,   ,16:0,
P6,23.7,23.605,23.785,TIC,1978941,12.91,476323,12.51,4.15,   ,18:1w9c,
P6,23.871,23.785,23.975,TIC,1921250,12.53,480805,12.63,4, V ,18:1w7,
P6,24.491,24.405,24.585,TIC,1015871,6.63,257319,6.76,3.95,   ,18:0,
P6,26.983,26.905,27.075,TIC,1057698,6.9,283773,7.45,3.73,   ,delta19:0,
P6,27.39,27.275,27.495,TIC,6484969,42.29,1698976,44.62,3.82,   ,19:0,
P7,18.557,18.455,18.705,TIC,2875498,19.88,594962,16.38,4.83,   ,16:0,
P7,23.75,23.665,23.835,TIC,1407958,9.73,346165,9.53,4.07,   ,18:1w9c,
P7,23.93,23.835,24.035,TIC,3114032,21.53,821619,22.62,3.79,   ,18:1w7,
P7,24.539,24.455,24.635,TIC,1018595,7.04,263072,7.24,3.87,   ,18:0,
P7,27.039,26.955,27.135,TIC,1222363,8.45,313843,8.64,3.89,   ,delta19:0,
P7,27.442,27.335,27.545,TIC,4824747,33.36,1293385,35.6,3.73,   ,19:0,
P8,18.551,18.435,18.705,TIC,4831279,21.34,941775,17.02,5.13,   ,16:0,
P8,23.557,23.465,23.645,TIC,1703853,7.53,396980,7.18,4.29,   ,18:2w6,
P8,23.75,23.645,23.835,TIC,3612825,15.96,865358,15.64,4.17, V ,18:1w9c,
P8,23.924,23.835,24.025,TIC,3892143,17.19,1022912,18.49,3.8, V ,18:1w7,
P8,24.537,24.445,24.635,TIC,1226573,5.42,309962,5.6,3.96,   ,18:0,
P8,27.032,26.945,27.135,TIC,1788044,7.9,473105,8.55,3.78,   ,delta19:0,
P8,27.436,27.325,27.545,TIC,5582328,24.66,1522542,27.52,3.67,   ,19:0,
P9,17.896,17.805,18.045,TIC,2124113,5.44,412751,4.38,5.15,   ,16:1w7c,
P9,18.557,18.435,18.705,TIC,8098654,20.75,1673111,17.76,4.84,   ,16:0,
P9,23.569,23.445,23.665,TIC,7617513,19.52,1833135,19.45,4.16,   ,18:2w6,
P9,23.76,23.665,23.845,TIC,6166590,15.8,1505065,15.97,4.1, V ,18:1w9c,
P9,23.929,23.845,24.035,TIC,6073675,15.56,1578776,16.76,3.85, V ,18:1w7,
P9,24.536,24.435,24.635,TIC,1898858,4.87,496420,5.27,3.83,   ,18:0,
P9,27.028,26.935,27.135,TIC,2209721,5.66,617970,6.56,3.58,   ,delta19:0,
P9,27.43,27.315,27.535,TIC,4835402,12.39,1305213,13.85,3.7,   ,19:0,
P10,18.548,18.445,18.685,TIC,2577062,25.3,552639,22.41,4.66,   ,16:0,
P10,23.549,23.465,23.645,TIC,1465130,14.38,365329,14.81,4.01,   ,18:2w6,
P10,23.742,23.645,23.825,TIC,1689328,16.58,413059,16.75,4.09, V ,18:1w9c,
P10,23.914,23.825,24.015,TIC,1914405,18.79,482059,19.55,3.97, V ,18:1w7,
P10,27.421,27.315,27.525,TIC,2540032,24.94,652862,26.48,3.89,   ,19:0,
P11,18.509,18.395,18.655,TIC,4326528,20.79,844232,16.69,5.12,   ,16:0,
P11,23.515,23.415,23.615,TIC,3734405,17.94,940519,18.6,3.97,   ,18:2w6,
P11,23.704,23.615,23.795,TIC,3658188,17.57,933502,18.46,3.92, V ,18:1w9c,
P11,23.869,23.795,23.975,TIC,1817885,8.73,475119,9.39,3.83, V ,18:1w7,
P11,24.49,24.395,24.585,TIC,1305482,6.27,312780,6.18,4.17,   ,18:0,
P11,27.39,27.275,27.495,TIC,5972672,28.69,1551069,30.67,3.85,   ,19:0,
P12,18.526,18.425,18.665,TIC,1882009,27.13,389399,23.42,4.83,   ,16:0,
P12,23.527,23.445,23.625,TIC,1348664,19.44,328013,19.72,4.11,   ,18:2w6,
P12,23.716,23.625,23.805,TIC,1184087,17.07,288979,17.38,4.1, V ,18:1w9c,
P12,23.882,23.805,23.985,TIC,1048627,15.12,270795,16.28,3.87, V ,18:1w7,
P12,27.389,27.305,27.485,TIC,1473118,21.24,385781,23.2,3.82,   ,19:0,
P13,17.868,17.775,18.015,TIC,1819295,5.05,345897,4.01,5.26,   ,16:1w7c,
P13,18.522,18.395,18.675,TIC,7639322,21.19,1520651,17.64,5.02,   ,16:0,
P13,23.528,23.415,23.625,TIC,4226064,11.72,1022653,11.86,4.13,   ,18:2w6,
P13,23.719,23.625,23.805,TIC,5345901,14.83,1253288,14.53,4.27, V ,18:1w9c,
P13,23.886,23.805,24.005,TIC,4547333,12.61,1130961,13.12,4.02, V ,18:1w7,
P13,24.499,24.405,24.605,TIC,1891775,5.25,484171,5.62,3.91,   ,18:0,
P13,26.994,26.905,27.095,TIC,1991270,5.52,528327,6.13,3.77,   ,delta19:0,
P13,27.403,27.275,27.515,TIC,7627117,21.15,2083771,24.17,3.66,   ,19:0,
P13,30.186,30.105,30.275,TIC,966134,2.68,252859,2.93,3.82,   ,20:0,
P14,18.54,18.425,18.685,TIC,3117949,17.4,611345,13.85,5.1,   ,16:0,
P14,23.544,23.455,23.635,TIC,1447583,8.08,351806,7.97,4.11,   ,18:2w6,
P14,23.735,23.635,23.825,TIC,2670690,14.91,657849,14.9,4.06, V ,18:1w9c,
P14,23.903,23.825,24.005,TIC,1630796,9.1,413887,9.37,3.94, V ,18:1w7,
P14,24.518,24.435,24.615,TIC,1040693,5.81,268481,6.08,3.88,   ,18:0,
P14,27.017,26.935,27.115,TIC,1130356,6.31,299108,6.77,3.78,   ,delta19:0,
P14,27.425,27.305,27.535,TIC,6879454,38.4,1812749,41.06,3.8,   ,19:0,
P15,17.887,17.805,18.035,TIC,1956418,6.35,390065,5.25,5.02,   ,16:1w7c,
P15,18.546,18.425,18.695,TIC,7031178,22.82,1541946,20.74,4.56,   ,16:0,
P15,23.552,23.445,23.645,TIC,4473823,14.52,1059043,14.25,4.22,   ,18:2w6,
P15,23.741,23.645,23.825,TIC,4664238,15.14,1129692,15.2,4.13, V ,18:1w9c,
P15,23.911,23.825,24.015,TIC,4811285,15.62,1236174,16.63,3.89, V ,18:1w7,
P15,24.521,24.425,24.615,TIC,1405543,4.56,348194,4.68,4.04,   ,18:0,
P15,27.016,26.915,27.115,TIC,1644307,5.34,418725,5.63,3.93,   ,delta19:0,
P15,27.417,27.305,27.525,TIC,4823723,15.66,1309572,17.62,3.68,   ,19:0,
P16,18.502,18.395,18.645,TIC,3287437,18.23,671620,14.93,4.89,   ,16:0,
P16,23.507,23.415,23.605,TIC,1103871,6.12,268342,5.96,4.11,   ,18:2w6,
P16,23.697,23.605,23.785,TIC,2311725,12.82,540351,12.01,4.28, V ,18:1w9c,
P16,23.866,23.785,23.965,TIC,1542513,8.55,367361,8.17,4.2, V ,18:1w7,
P16,24.484,24.395,24.585,TIC,1207698,6.7,309289,6.87,3.9,   ,18:0,
P16,27.391,27.275,27.495,TIC,8584359,47.59,2341844,52.05,3.67,   ,19:0,
P17,18.505,18.385,18.665,TIC,6765419,26.94,1324261,22.64,5.11,   ,16:0,
P17,23.507,23.395,23.605,TIC,3436508,13.69,838733,14.34,4.1,   ,18:2w6,
P17,23.702,23.605,23.785,TIC,4870229,19.4,1137311,19.44,4.28, V ,18:1w9c,
P17,23.865,23.785,23.975,TIC,2457670,9.79,636801,10.89,3.86, V ,18:1w7,
P17,24.478,24.385,24.585,TIC,1398449,5.57,331050,5.66,4.22,   ,18:0,
P17,27.384,27.265,27.485,TIC,6182071,24.62,1582040,27.04,3.91,   ,19:0,
P18,18.508,18.385,18.655,TIC,6553662,26.58,1359200,23.13,4.82,   ,16:0,
P18,23.512,23.395,23.605,TIC,4547444,18.44,1134102,19.3,4.01,   ,18:2w6,
P18,23.701,23.605,23.785,TIC,5039451,20.44,1204831,20.5,4.18, V ,18:1w9c,
P18,23.866,23.785,23.975,TIC,2173892,8.82,547857,9.32,3.97, V ,18:1w7,
P18,24.483,24.395,24.575,TIC,1199828,4.87,313448,5.33,3.83,   ,18:0,
P18,27.38,27.265,27.485,TIC,5146103,20.87,1317272,22.42,3.91,   ,19:0,
P19,18.502,18.395,18.645,TIC,3869113,19.6,764256,16.04,5.06,   ,16:0,
P19,23.504,23.405,23.605,TIC,2085854,10.57,488232,10.24,4.27,   ,18:2w6,
P19,23.695,23.605,23.785,TIC,2427927,12.3,597339,12.53,4.06, V ,18:1w9c,
P19,23.86,23.785,23.965,TIC,1698838,8.6,421084,8.84,4.03, V ,18:1w7,
P19,24.482,24.385,24.575,TIC,1230188,6.23,306730,6.44,4.01,   ,18:0,
P19,27.39,27.265,27.495,TIC,8430975,42.7,2188420,45.92,3.85,   ,19:0,
P20,18.51,18.395,18.655,TIC,4634638,28.47,970096,25.03,4.78,   ,16:0,
P20,23.511,23.405,23.615,TIC,2383885,14.64,563675,14.54,4.23,   ,18:2w6,
P20,23.701,23.615,23.795,TIC,2635738,16.19,639256,16.5,4.12, V ,18:1w9c,
P20,23.868,23.795,23.975,TIC,1469118,9.02,359963,9.29,4.08, V ,18:1w7,
P20,24.485,24.395,24.575,TIC,881451,5.41,229155,5.91,3.85,   ,18:0,
P20,27.386,27.275,27.485,TIC,4274128,26.26,1113300,28.73,3.84,   ,19:0,
P21,18.528,18.425,18.665,TIC,2359804,16.04,480021,12.61,4.92,   ,16:0,
P21,23.723,23.625,23.815,TIC,1432389,9.73,360584,9.47,3.97,   ,18:1w9c,
P21,23.896,23.815,23.995,TIC,1226713,8.34,310854,8.16,3.95, V ,18:1w7,
P21,24.515,24.425,24.605,TIC,927454,6.3,241642,6.35,3.84,   ,18:0,
P21,27.424,27.295,27.535,TIC,8769537,59.59,2414758,63.42,3.63,   ,19:0,
P22,18.542,18.415,18.695,TIC,9251802,24.33,1934178,20.9,4.78,   ,16:0,
P22,23.548,23.425,23.645,TIC,6417462,16.88,1521928,16.44,4.22,   ,18:2w6,
P22,23.744,23.645,23.825,TIC,8197007,21.56,2064485,22.3,3.97, V ,18:1w9c,
P22,23.897,23.825,24.005,TIC,2524512,6.64,653266,7.06,3.86, V ,18:1w7,
P22,24.517,24.415,24.615,TIC,1694485,4.46,444301,4.8,3.81,   ,18:0,
P22,27.01,26.925,27.105,TIC,1028837,2.71,274851,2.97,3.74,   ,delta19:0,
P22,27.424,27.295,27.535,TIC,8913253,23.44,2363102,25.53,3.77,   ,19:0,
P23,18.505,18.395,18.645,TIC,3167111,16.81,644213,13.68,4.92,   ,16:0,
P23,23.507,23.415,23.605,TIC,932919,4.95,228837,4.86,4.08,   ,18:2w6,
P23,23.696,23.605,23.785,TIC,2336465,12.4,577827,12.27,4.04, V ,18:1w9c,
