Sample,Code,Plant_Species,Plant_Species_cover,Mycorrhiza_Status,Heather_Category,Heather_Density,Structural_class
1,1-50-1,CORPTE,3,NM,Medium,30,Native shrub
1,1-50-1,DRAREC,6,ErM,Medium,30,Native shrub
1,1-50-1,DRASUB,4,ErM,Medium,30,Native shrub
1,1-50-1,LEPSCO,10,EcM/AM,Medium,30,Native shrub
2,1-50-2,CELSPE,3,AM,Low,10,Native forb
2,1-50-2,DRAREC,12,ErM,Low,10,Native shrub
2,1-50-2,DRASUB,4,ErM,Low,10,Native shrub
2,1-50-2,LEPSCO,20,EcM/AM,Low,10,Native shrub
3,1-50-3,CELSPE,2,AM,Medium,40,Native forb
3,1-50-3,DRAREC,15,ErM,Medium,40,Native shrub
3,1-50-3,LEPSCO,1,EcM/AM,Medium,40,Native shrub
4,1-50-4,CELSPE,0.5,AM,Medium,60,Native forb
4,1-50-4,DRAREC,3,ErM,Medium,60,Native shrub
4,1-50-4,DRASUB,2,ErM,Medium,60,Native shrub
5,1-50-5,CELSPE,0.5,AM,Medium,30,Native forb
5,1-50-5,DRAREC,1,ErM,Medium,30,Native shrub
5,1-50-5,OZOLEP,1,AM,Medium,30,Native shrub
6,2-0-1,CELSPE,0.5,AM,Low,0,Native forb
6,2-0-1,COPCHE,5,AM,Low,0,Native shrub
6,2-0-1,DRASUB,20,ErM,Low,0,Native shrub
6,2-0-1,OZOLEP,1,AM,Low,0,Native shrub
6,2-0-1,PENPUM,30,ErM,Low,0,Native shrub
6,2-0-1,VERTET,0.5,AM,Low,0,Native shrub
6,2-0-1,VERVEN,6,AM,Low,0,Native shrub
7,2-0-2,DRASUB,20,ErM,Low,0,Native shrub
7,2-0-2,OZOLEP,15,AM,Low,0,Native shrub
7,2-0-2,VERTET,3,AM,Low,0,Native shrub
7,2-0-2,VERVEN,3,AM,Low,0,Native shrub
8,2-0-3,CELGRA,0.5,AM,Low,0,Native forb
8,2-0-3,CELSPE,3,AM,Low,0,Native forb
8,2-0-3,DRASUB,50,ErM,Low,0,Native shrub
8,2-0-3,VERTET,1,AM,Low,0,Native shrub
8,2-0-3,VERVEN,7,AM,Low,0,Native shrub
9,2-0-4,COPCHE,7,AM,Low,0,Native shrub
9,2-0-4,DRASUB,40,ErM,Low,0,Native shrub
9,2-0-4,OZOLEP,1,AM,Low,0,Native shrub
9,2-0-4,PENPUM,15,ErM,Low,0,Native shrub
9,2-0-4,VERVEN,4,AM,Low,0,Native shrub
10,2-0-5,CELGRA,0.5,AM,Low,0,Native forb
10,2-0-5,COPCHE,20,AM,Low,0,Native shrub
10,2-0-5,DRASUB,70,ErM,Low,0,Native shrub
10,2-0-5,PENPUM,15,ErM,Low,0,Native shrub
10,2-0-5,POACOL,1,AM,Low,0,Native grass
10,2-0-5,VERVEN,3,AM,Low,0,Native shrub
11,3-100-1,COPPER,5,AM,Medium,60,Native shrub
11,3-100-1,OZOLEP,2,AM,Medium,60,Native shrub
11,3-100-1,PENPUM,10,ErM,Medium,60,Native shrub
12,3-100-2,COPPER,10,AM,Medium,50,Native shrub
12,3-100-2,DRAREC,2,ErM,Medium,50,Native shrub
12,3-100-2,DRASUB,5,ErM,Medium,50,Native shrub
12,3-100-2,OZOLEP,7,AM,Medium,50,Native shrub
12,3-100-2,POACOL,2,AM,Medium,50,Native grass
12,3-100-2,RYTSET,1,AM,Medium,50,Native grass
13,3-100-3,COPCHE,1,AM,High,80,Native shrub
13,3-100-3,OZOLEP,0.5,AM,High,80,Native shrub
13,3-100-3,VERVEN,1,AM,High,80,Native shrub
14,3-100-4,OZOLEP,10,AM,High,70,Native shrub
14,3-100-4,VERVEN,0.5,AM,High,70,Native shrub
15,3-100-5,DRASUB,15,ErM,High,70,Native shrub
15,3-100-5,OZOLEP,0.5,AM,High,70,Native shrub
15,3-100-5,PENPUM,2,ErM,High,70,Native shrub
15,3-100-5,VERVEN,0.5,AM,High,70,Native shrub
16,4-100-1,DRASUB,5,ErM,Medium,60,Native shrub
16,4-100-1,EMPMIN,3,NM,Medium,60,Native sedges and rushes
16,4-100-1,LEPSCO,15,EcM/AM,Medium,60,Native shrub
16,4-100-1,LEUFRA,38,ErM,Medium,60,Native shrub
16,4-100-1,PENPUM,3,ErM,Medium,60,Native shrub
16,4-100-1,POACOL,1,AM,Medium,60,Native grass
17,4-100-2,AUSTOE,15,AM,Medium,60,Native grass
17,4-100-2,DRASUB,2,ErM,Medium,60,Native shrub
17,4-100-2,EMPMIN,20,NM,Medium,60,Native sedges and rushes
17,4-100-2,LEPSCO,1,EcM/AM,Medium,60,Native shrub
18,4-100-3,AUSTOE,8,AM,High,70,Native grass
18,4-100-3,DRASUB,1,ErM,High,70,Native shrub
18,4-100-3,LEPSCO,7,EcM/AM,High,70,Native shrub
18,4-100-3,OZOLEP,1,AM,High,70,Native shrub
19,4-100-4,AUSTOE,5,AM,Medium,60,Native grass
19,4-100-4,EPAALP,0.5,ErM,Medium,60,Native shrub
19,4-100-4,LEPSCO,2,EcM/AM,Medium,60,Native shrub
19,4-100-4,OZOLEP,10,AM,Medium,60,Native shrub
19,4-100-4,PENPUM,0.5,ErM,Medium,60,Native shrub
20,4-100-5,AUSTOE,20,AM,Medium,50,Native grass
20,4-100-5,COPCHE,1,AM,Medium,50,Native shrub
20,4-100-5,DRASUB,4,ErM,Medium,50,Native shrub
20,4-100-5,LEPSCO,20,EcM/AM,Medium,50,Native shrub
20,4-100-5,LEUFRA,1,ErM,Medium,50,Native shrub
20,4-100-5,ORESTR,1,NM,Medium,50,Native sedges and rushes
21,5-50-1,DRASUB,3,ErM,Medium,20,Native shrub
21,5-50-1,GAUDEP,15,ErM,Medium,20,Native shrub
21,5-50-1,HYPRAD,1,AM,Medium,20,Pastoral
21,5-50-1,OZOLEP,1,AM,Medium,20,Native shrub
21,5-50-1,PENPUM,1,ErM,Medium,20,Native shrub
21,5-50-1,POACOL,4,AM,Medium,20,Native grass
21,5-50-1,RYTSET,6,AM,Medium,20,Native grass
21,5-50-1,VERVEN,1,AM,Medium,20,Native shrub
22,5-50-2,DRASUB,0.5,ErM,Medium,50,Native shrub
22,5-50-2,GAUCOL,1,ErM,Medium,50,Native shrub
