Code,Plot,Site,Replicate,Sample,AMF_Presence,Heather_Density
1-50-1,1,1,1,N1,0,30
1-50-2,2,1,2,N2,0,10
1-50-3,3,1,3,N3,0,40
1-50-4,4,1,4,N4,0,60
1-50-5,5,1,5,N5,1,30
2-0-1,6,2,1,N6,0,0
2-0-2,7,2,2,N7,1,0
2-0-3,8,2,3,N8,0,0
2-0-4,9,2,4,N9,1,0
2-0-5,10,2,5,N10,0,0
3-100-1,11,3,1,N11,0,60
3-100-2,12,3,2,N12,0,50
3-100-3,13,3,3,N13,0,80
3-100-4,14,3,4,N14,0,70
3-100-5,15,3,5,N15,1,70
4-100-1,16,4,1,N16,0,60
4-100-2,17,4,2,N17,0,60
4-100-3,18,4,3,N18,1,70
4-100-4,19,4,4,N19,0,60
4-100-5,20,4,5,N20,0,50
5-50-1,21,5,1,N21,0,20
5-50-2,22,5,2,N22,1,50
5-50-3,23,5,3,N23,0,60
5-50-4,24,5,4,N24,1,40
5-50-5,25,5,5,N25,1,50
6-0-1,26,6,1,N26,1,0
6-0-2,27,6,2,N27,0,0
6-0-3,28,6,3,N28,0,0
6-0-4,29,6,4,N29,0,0
6-0-5,30,6,5,N30,0,0
7-0-1,31,7,1,N31,1,0
7-0-2,32,7,2,N32,1,0
7-0-3,33,7,3,N33,0,0
7-0-4,34,7,4,N34,1,0
7-0-5,35,7,5,N35,0,0
8-100-1,36,8,1,N36,0,60
8-100-2,37,8,2,N37,0,70
8-100-3,38,8,3,N38,0,60
8-100-4,39,8,4,N39,0,60
8-100-5,40,8,5,N40,0,50
9-50-1,41,9,1,N41,0,30
9-50-2,42,9,2,N42,0,25
9-50-3,43,9,3,N43,1,20
9-50-4,44,9,4,N44,0,40
9-50-5,45,9,5,N45,0,60
10-100-1,46,10,1,N46,0,70
10-100-2,47,10,2,N47,0,60
10-100-3,48,10,3,N48,0,70
10-100-4,49,10,4,N49,0,90
10-100-5,50,10,5,N50,1,90
11-0-1,51,11,1,N51,0,0
11-0-2,52,11,2,N52,0,0
11-0-3,53,11,3,N53,1,0
11-0-4,54,11,4,N54,1,0
11-0-5,55,11,5,N55,1,0
12-50-1,56,12,1,N56,0,50
12-50-2,57,12,2,N57,0,40
12-50-3,58,12,3,N58,0,50
12-50-4,59,12,4,N59,1,80
12-50-5,60,12,5,N60,0,60
13-50-1,61,13,1,N61,0,40
13-50-2,62,13,2,N62,0,30
13-50-3,63,13,3,N63,1,15
13-50-4,64,13,4,N64,1,20
13-50-5,65,13,5,N65,0,50
14-100-1,66,14,1,N66,1,60
14-100-2,67,14,2,N67,0,80
14-100-3,68,14,3,N68,0,70
14-100-4,69,14,4,N69,0,40
14-100-5,70,14,5,N70,0,70
15-0-1,71,15,1,N71,0,0
15-0-2,72,15,2,N72,1,0
15-0-3,73,15,3,N73,0,0
15-0-4,74,15,4,N74,0,0
15-0-5,75,15,5,N75,0,0
